receipt_no,sale_datetime,loyalty_card_no,store_location,country,item_code,department,qty,item_price,tender_type,register_no,cashier_id
POS-50025,2026-05-07 18:03:42,MEM-190,Sydney - George St,AU,PROD-048,Home & Living,3,116.65,Contactless,REG-02,EMP-120
POS-50026,2025-09-23 15:39:18,,Mumbai - Bandra,IN,PROD-048,Home & Living,2,234.11,Card,REG-06,EMP-120
POS-50027,2026-04-20 07:43:54,,Mumbai - Bandra,IN,PROD-030,Sporting Goods,1,231.24,Contactless,REG-05,EMP-127
POS-50028,2026-02-21 12:57:48,MEM-319,Berlin - Mitte,DE,PROD-093,Home & Living,3,205.07,Card,REG-01,EMP-120
POS-50029,2026-05-17 00:01:26,MEM-254,Mumbai - Bandra,IN,PROD-046,Consumer Electronics,1,644.93,Contactless,REG-05,EMP-119
POS-50030,2025-11-26 18:36:46,MEM-399,Berlin - Mitte,DE,PROD-059,Books & Media,2,16.72,Cash,REG-03,EMP-123
POS-50031,2026-07-30 14:53:42,MEM-212,Paris - Champs-Elysees,FR,PROD-002,Apparel & Fashion,1,53.7,Cash,REG-04,EMP-117
POS-50032,2026-02-05 08:04:26,MEM-199,Mumbai - Bandra,IN,PROD-099,Books & Media,3,21.32,Cash,REG-06,EMP-118
POS-50033,2025-11-02 05:38:56,MEM-282,London - Oxford St,UK,PROD-067,Apparel & Fashion,2,94.25,Cash,REG-04,EMP-117
POS-50034,2025-10-05 18:08:03,,New York - 5th Ave,US,PROD-078,Home & Living,1,37.27,Card,REG-03,EMP-116
POS-50035,2026-06-21 22:19:58,MEM-284,Toronto - Downtown,CA,PROD-006,Consumer Electronics,1,253.19,Cash,REG-06,EMP-110
POS-50036,2026-01-06 02:20:10,,Toronto - Downtown,CA,PROD-091,Consumer Electronics,1,65.78,Cash,REG-06,EMP-114
POS-50037,2026-08-01 11:03:00,,Paris - Champs-Elysees,FR,PROD-072,Apparel & Fashion,1,92.45,Card,REG-01,EMP-107
POS-50038,2026-09-14 07:18:36,MEM-332,London - Oxford St,UK,PROD-024,Books & Media,1,37.32,Contactless,REG-04,EMP-115
POS-50039,2026-06-13 07:17:56,,London - Oxford St,UK,PROD-042,Apparel & Fashion,3,73.0,Contactless,REG-06,EMP-107
POS-50040,2026-08-05 13:06:28,MEM-368,Sydney - George St,AU,PROD-019,Books & Media,3,33.81,Contactless,REG-06,EMP-109
POS-50041,2026-01-05 01:19:02,MEM-301,Mumbai - Bandra,IN,PROD-083,Home & Living,4,216.4,Cash,REG-03,EMP-105
POS-50042,2026-01-15 15:56:29,MEM-194,London - Oxford St,UK,PROD-039,Books & Media,2,25.17,Contactless,REG-06,EMP-117
POS-50043,2026-05-17 06:54:37,MEM-252,Berlin - Mitte,DE,PROD-095,Sporting Goods,1,214.77,Contactless,REG-02,EMP-111
POS-50044,2026-02-17 00:19:26,MEM-360,Mumbai - Bandra,IN,PROD-029,Books & Media,3,14.15,Cash,REG-06,EMP-109
POS-50045,2026-03-22 03:05:30,,London - Oxford St,UK,PROD-029,Books & Media,3,17.03,Contactless,REG-04,EMP-124
POS-50046,2026-04-26 08:43:14,MEM-360,London - Oxford St,UK,PROD-086,Consumer Electronics,3,301.97,Contactless,REG-03,EMP-119
POS-50047,2025-11-06 22:06:12,,Paris - Champs-Elysees,FR,PROD-091,Consumer Electronics,4,748.09,Cash,REG-06,EMP-118
POS-50048,2026-09-04 21:51:24,,Toronto - Downtown,CA,PROD-028,Home & Living,2,76.94,Cash,REG-06,EMP-107
POS-50049,2026-02-02 23:56:52,,London - Oxford St,UK,PROD-022,Apparel & Fashion,1,39.39,Card,REG-04,EMP-125
POS-50050,2026-07-11 17:22:26,MEM-378,Mumbai - Bandra,IN,PROD-050,Sporting Goods,1,50.37,Cash,REG-06,EMP-117
POS-50051,2026-08-27 05:16:38,MEM-199,London - Oxford St,UK,PROD-001,Consumer Electronics,1,51.57,Card,REG-01,EMP-115
POS-50052,2026-07-23 09:28:11,MEM-336,Mumbai - Bandra,IN,PROD-033,Home & Living,1,164.35,Card,REG-03,EMP-101
POS-50053,2026-08-14 21:11:53,MEM-115,New York - 5th Ave,US,PROD-050,Sporting Goods,4,73.81,Contactless,REG-01,EMP-113
POS-50054,2025-11-15 21:48:21,,Paris - Champs-Elysees,FR,PROD-031,Consumer Electronics,3,647.04,Card,REG-05,EMP-122
POS-50055,2026-06-06 12:51:18,,Toronto - Downtown,CA,PROD-098,Home & Living,4,87.75,Card,REG-04,EMP-112
POS-50056,2026-08-22 19:49:27,,Berlin - Mitte,DE,PROD-100,Sporting Goods,1,284.18,Cash,REG-05,EMP-120
POS-50001,2025-10-12 00:34:43,MEM-100,Toronto - Downtown,CA,PROD-003,Home & Living,3,44.19,Cash,REG-02,EMP-121
POS-50058,2026-03-05 05:01:41,,Mumbai - Bandra,IN,PROD-094,Books & Media,2,31.09,Card,REG-06,EMP-106
POS-50059,2026-06-29 09:49:18,MEM-142,Sydney - George St,AU,PROD-100,Sporting Goods,1,142.82,Contactless,REG-02,EMP-118
POS-50060,2025-10-24 13:09:56,MEM-107,Sydney - George St,AU,PROD-023,Home & Living,4,231.52,Cash,REG-04,EMP-115
POS-50061,2026-04-27 11:55:05,MEM-110,New York - 5th Ave,US,PROD-004,Books & Media,2,20.83,Card,REG-05,EMP-110
POS-50062,2026-04-24 17:17:01,MEM-229,Paris - Champs-Elysees,FR,PROD-044,Books & Media,3,35.06,Cash,REG-06,EMP-113
POS-50063,2025-12-20 10:38:51,MEM-254,Sydney - George St,AU,PROD-013,Home & Living,1,248.73,Card,REG-06,EMP-111
POS-50064,2026-06-26 09:27:09,MEM-210,Toronto - Downtown,CA,PROD-051,Consumer Electronics,2,236.9,Card,REG-04,EMP-101
POS-50065,2026-09-03 23:33:40,,Berlin - Mitte,DE,PROD-034,Books & Media,1,40.07,Contactless,REG-06,EMP-115
POS-50066,2025-10-26 22:42:17,,Mumbai - Bandra,IN,PROD-035,Sporting Goods,2,244.78,Contactless,REG-05,EMP-124
POS-50067,2025-12-22 15:43:35,MEM-399,Mumbai - Bandra,IN,PROD-062,Apparel & Fashion,2,100.81,Cash,REG-04,EMP-125
POS-50068,2025-10-06 09:43:19,,Sydney - George St,AU,PROD-066,Consumer Electronics,1,759.09,Cash,REG-06,EMP-123
POS-50069,2026-01-04 02:05:37,MEM-261,London - Oxford St,UK,PROD-004,Books & Media,3,25.01,Contactless,REG-02,EMP-113
POS-50070,2026-06-15 22:32:32,MEM-164,New York - 5th Ave,US,PROD-017,Apparel & Fashion,4,113.41,Cash,REG-01,EMP-115
POS-50071,2026-08-25 09:46:14,MEM-273,New York - 5th Ave,US,PROD-095,Sporting Goods,4,244.94,Cash,REG-04,EMP-111
POS-50072,2026-08-28 13:16:42,,New York - 5th Ave,US,PROD-009,Books & Media,1,17.42,Card,REG-03,EMP-102
POS-50073,2026-01-17 10:53:56,MEM-102,Toronto - Downtown,CA,PROD-042,Apparel & Fashion,4,92.51,Cash,REG-03,EMP-118
POS-50074,2026-10-02 06:38:12,,Berlin - Mitte,DE,PROD-078,Home & Living,1,176.01,Cash,REG-04,EMP-122
POS-50075,2026-08-24 07:49:29,MEM-161,Sydney - George St,AU,PROD-025,Sporting Goods,4,125.72,Card,REG-05,EMP-125
POS-50076,2025-11-20 06:27:20,,London - Oxford St,UK,PROD-083,Home & Living,2,194.51,Card,REG-06,EMP-120
POS-50077,2026-04-09 00:13:00,,Mumbai - Bandra,IN,PROD-088,Home & Living,4,121.31,Contactless,REG-04,EMP-127
POS-50078,2026-08-06 00:31:57,MEM-190,Berlin - Mitte,DE,PROD-090,Sporting Goods,2,173.82,Card,REG-02,EMP-130
POS-50079,2025-10-17 03:29:25,,Mumbai - Bandra,IN,PROD-010,Sporting Goods,1,148.47,Card,REG-05,EMP-124
POS-50080,2026-05-09 07:05:43,MEM-251,Berlin - Mitte,DE,PROD-026,Consumer Electronics,2,687.54,Cash,REG-03,EMP-105
POS-50081,2026-07-19 16:39:11,,Sydney - George St,AU,PROD-006,Consumer Electronics,1,509.64,Contactless,REG-02,EMP-121
POS-50082,2026-08-20 21:39:40,MEM-304,Toronto - Downtown,CA,PROD-085,Sporting Goods,3,27.01,Card,REG-02,EMP-104
POS-50083,2026-08-11 14:22:58,,Mumbai - Bandra,IN,PROD-030,Sporting Goods,-2,100.46,Card,REG-04,EMP-110
POS-50084,2025-12-29 01:01:04,MEM-153,Mumbai - Bandra,IN,PROD-031,Consumer Electronics,3,231.87,Contactless,REG-04,EMP-104
POS-50085,2026-04-21 13:45:38,,Berlin - Mitte,DE,PROD-072,Apparel & Fashion,2,53.07,Contactless,REG-02,EMP-130
POS-50086,2025-11-24 02:02:04,MEM-308,Mumbai - Bandra,IN,PROD-094,Books & Media,1,10.02,Cash,REG-02,EMP-109
POS-50087,2025-09-25 02:13:08,,Paris - Champs-Elysees,FR,PROD-055,Sporting Goods,3,68.87,Card,REG-05,EMP-113
POS-50088,2025-11-16 18:18:47,MEM-170,Paris - Champs-Elysees,FR,PROD-020,Sporting Goods,4,212.22,Cash,REG-05,EMP-103
POS-50089,2026-06-11 22:33:28,,Berlin - Mitte,DE,PROD-037,Apparel & Fashion,1,24.11,Contactless,REG-02,EMP-118
POS-50090,2026-08-09 14:39:50,,Mumbai - Bandra,IN,PROD-016,Consumer Electronics,4,382.14,Cash,REG-05,EMP-122
POS-50091,2026-01-16 00:53:30,,Sydney - George St,AU,PROD-075,Sporting Goods,2,28.46,Cash,REG-02,EMP-117
POS-50092,2025-10-22 03:39:48,,Berlin - Mitte,DE,PROD-084,Books & Media,1,10.19,Cash,REG-06,EMP-118
POS-50093,2026-05-01 14:25:45,MEM-323,Sydney - George St,AU,PROD-012,Apparel & Fashion,4,49.68,Card,REG-02,EMP-113
POS-50001,2026-04-07 06:45:41,,New York - 5th Ave,US,PROD-053,Home & Living,1,200.21,Cash,REG-03,EMP-108
POS-50095,2026-04-19 20:50:24,MEM-101,Berlin - Mitte,DE,PROD-020,Sporting Goods,1,113.14,Contactless,REG-03,EMP-108
POS-50001,2025-09-28 00:39:17,MEM-166,Mumbai - Bandra,IN,PROD-016,Consumer Electronics,-1,271.98,Card,REG-01,EMP-117
POS-50097,2026-07-09 09:44:48,MEM-264,Sydney - George St,AU,PROD-028,Home & Living,2,75.96,Card,REG-01,EMP-118
POS-50098,2026-08-31 02:56:18,MEM-126,Mumbai - Bandra,IN,PROD-059,Books & Media,3,19.23,Card,REG-06,EMP-102
POS-50099,2026-03-24 18:25:34,MEM-333,Paris - Champs-Elysees,FR,PROD-060,Sporting Goods,1,157.62,Card,REG-05,EMP-111
POS-50100,2026-02-27 09:48:22,MEM-329,Toronto - Downtown,XX,PROD-005,Sporting Goods,4,147.31,Card,REG-01,EMP-114
POS-50101,2025-11-26 20:36:19,,Paris - Champs-Elysees,FR,PROD-092,Apparel & Fashion,3,40.42,Contactless,REG-02,EMP-129
POS-50102,2025-10-22 13:10:13,MEM-371,Paris - Champs-Elysees,FR,PROD-025,Sporting Goods,3,99.4,Cash,REG-06,EMP-105
POS-50103,2026-05-23 23:32:44,MEM-366,Paris - Champs-Elysees,FR,PROD-004,Books & Media,2,29.15,Cash,REG-06,EMP-101
POS-50104,2026-07-01 06:03:50,,New York - 5th Ave,US,PROD-049,Books & Media,1,13.41,Cash,REG-05,EMP-126
POS-50105,2026-04-13 18:21:05,,Mumbai - Bandra,IN,PROD-044,Books & Media,4,13.28,Cash,REG-06,EMP-107
POS-50106,2026-05-24 22:09:14,MEM-356,Toronto - Downtown,CA,PROD-003,Home & Living,2,43.8,Cash,REG-06,EMP-110
POS-50107,2025-11-25 03:24:34,,Berlin - Mitte,DE,PROD-094,Books & Media,4,23.46,Card,REG-02,EMP-122
POS-50108,2026-04-01 00:56:49,MEM-210,Mumbai - Bandra,IN,PROD-005,Sporting Goods,4,194.52,Contactless,REG-03,EMP-101
POS-50109,2026-04-30 03:49:27,,Toronto - Downtown,CA,PROD-025,Sporting Goods,2,181.95,Contactless,REG-01,EMP-112
POS-50110,2025-10-04 11:20:00,MEM-284,Mumbai - Bandra,IN,PROD-016,Consumer Electronics,4,98.02,Card,REG-05,EMP-121
POS-50111,2025-12-16 08:14:06,MEM-259,Mumbai - Bandra,IN,PROD-048,Home & Living,2,138.94,Contactless,REG-06,EMP-107
POS-50112,2026-03-24 06:26:11,MEM-204,Berlin - Mitte,DE,PROD-069,Books & Media,1,24.09,Contactless,REG-05,EMP-102
POS-50113,2025-12-15 14:40:53,MEM-253,Toronto - Downtown,CA,PROD-020,Sporting Goods,2,153.17,Contactless,REG-03,EMP-111
POS-50114,2026-07-17 12:32:05,MEM-366,Paris - Champs-Elysees,FR,PROD-055,Sporting Goods,2,279.01,Card,REG-03,EMP-117
POS-50115,2026-08-21 21:56:11,MEM-204,Berlin - Mitte,DE,PROD-040,Sporting Goods,3,215.14,Cash,REG-01,EMP-129
POS-50116,2026-08-29 15:17:32,MEM-236,Mumbai - Bandra,IN,PROD-099,Books & Media,4,42.71,Card,REG-05,EMP-113
POS-50117,2025-09-26 02:50:49,MEM-201,Toronto - Downtown,CA,PROD-077,Apparel & Fashion,1,51.75,Card,REG-01,EMP-127
POS-50118,2025-11-05 22:43:05,,Paris - Champs-Elysees,FR,PROD-005,Sporting Goods,4,104.06,Cash,REG-03,EMP-129
POS-50119,2026-02-06 09:58:20,MEM-191,Sydney - George St,AU,PROD-045,Sporting Goods,2,175.84,Cash,REG-04,EMP-128
POS-50120,2026-02-07 21:08:12,,London - Oxford St,UK,PROD-079,Books & Media,1,8.57,Cash,REG-03,EMP-114
POS-50121,2026-06-18 22:51:17,MEM-213,Berlin - Mitte,DE,PROD-012,Apparel & Fashion,1,68.41,Card,REG-05,EMP-101
POS-50122,2026-09-06 01:10:18,MEM-236,London - Oxford St,UK,PROD-015,Sporting Goods,1,36.91,Card,REG-01,EMP-111
POS-50123,2026-08-04 21:30:37,MEM-395,Paris - Champs-Elysees,FR,PROD-056,Consumer Electronics,3,511.96,Contactless,REG-03,EMP-105
POS-50124,2026-07-31 19:58:17,MEM-160,Paris - Champs-Elysees,FR,PROD-056,Consumer Electronics,4,305.56,Contactless,REG-05,EMP-116
POS-50125,2026-05-04 19:10:43,MEM-210,Sydney - George St,AU,PROD-046,Consumer Electronics,4,438.65,Cash,REG-01,EMP-105
POS-50126,2026-04-20 12:54:13,,New York - 5th Ave,US,PROD-006,Consumer Electronics,4,55.58,Cash,REG-04,EMP-115
POS-50127,2026-06-15 22:32:23,,Sydney - George St,AU,PROD-005,Sporting Goods,2,93.65,Cash,REG-03,EMP-119
POS-50128,2026-08-07 09:21:06,MEM-153,Berlin - Mitte,DE,PROD-034,Books & Media,2,40.5,Card,REG-01,EMP-116
POS-50129,2026-02-28 08:35:20,MEM-276,Mumbai - Bandra,IN,PROD-051,Consumer Electronics,2,285.98,Card,REG-04,EMP-110
POS-50130,2026-02-18 08:48:27,,Paris - Champs-Elysees,FR,PROD-093,Home & Living,1,159.41,Card,REG-02,EMP-111
POS-50131,2025-11-01 11:00:39,,Berlin - Mitte,DE,PROD-096,Consumer Electronics,1,228.21,Cash,REG-02,EMP-118
POS-50132,2026-06-29 18:05:55,MEM-299,Sydney - George St,AU,PROD-013,Home & Living,3,67.09,Card,REG-02,EMP-124
POS-50133,2026-05-04 00:24:42,,Paris - Champs-Elysees,FR,PROD-042,Apparel & Fashion,3,25.43,Card,REG-01,EMP-125
POS-50134,2026-08-02 02:55:17,MEM-324,Toronto - Downtown,CA,PROD-006,Consumer Electronics,3,557.89,Cash,REG-05,EMP-129
POS-50135,2026-06-20 05:19:00,MEM-254,Sydney - George St,AU,PROD-013,Home & Living,4,43.68,Cash,REG-05,EMP-120
POS-50136,2026-08-23 00:33:41,MEM-265,London - Oxford St,UK,PROD-023,Home & Living,3,76.54,Cash,REG-04,EMP-108
POS-50137,2026-03-24 00:05:31,,Toronto - Downtown,CA,PROD-087,Apparel & Fashion,2,56.25,Contactless,REG-06,EMP-120
POS-50138,2026-04-06 18:51:22,,New York - 5th Ave,US,PROD-010,Sporting Goods,2,199.55,Card,REG-04,EMP-104
POS-50139,2025-11-16 18:08:33,MEM-129,Paris - Champs-Elysees,FR,PROD-048,Home & Living,-3,207.93,Cash,REG-03,EMP-122
POS-50140,2026-06-06 06:25:00,,Mumbai - Bandra,IN,PROD-037,Apparel & Fashion,1,84.12,Card,REG-02,EMP-115
POS-50141,2025-11-05 04:48:11,,Toronto - Downtown,CA,PROD-064,Books & Media,3,37.5,Contactless,REG-06,EMP-109
POS-50142,2026-08-14 04:05:31,,Mumbai - Bandra,IN,PROD-002,Apparel & Fashion,1,45.38,Cash,REG-02,EMP-112
POS-50143,2025-10-23 16:57:24,MEM-128,Mumbai - Bandra,IN,PROD-063,Home & Living,3,34.35,Cash,REG-06,EMP-119
POS-50144,2026-05-12 06:43:21,,Paris - Champs-Elysees,FR,PROD-095,Sporting Goods,4,253.02,Cash,REG-02,EMP-101
POS-50145,2026-01-03 12:14:57,,Mumbai - Bandra,IN,PROD-003,Home & Living,4,26.36,Contactless,REG-03,EMP-123
POS-50146,2026-07-23 23:40:30,MEM-129,New York - 5th Ave,US,PROD-025,Sporting Goods,1,195.83,Contactless,REG-03,EMP-125
POS-50147,2025-11-30 00:20:58,MEM-242,Mumbai - Bandra,IN,PROD-055,Sporting Goods,1,211.04,Contactless,REG-01,EMP-121
POS-50148,2026-07-12 20:21:59,,New York - 5th Ave,US,PROD-017,Apparel & Fashion,4,91.93,Contactless,REG-03,EMP-102
POS-50149,2026-08-28 19:14:48,,Sydney - George St,AU,PROD-080,Sporting Goods,2,146.51,Contactless,REG-03,EMP-107
POS-50150,2025-10-16 14:23:04,MEM-386,Mumbai - Bandra,IN,PROD-093,Home & Living,4,65.94,Cash,REG-05,EMP-103
POS-50151,2026-08-28 22:26:36,MEM-173,Mumbai - Bandra,IN,PROD-035,Sporting Goods,4,281.37,Cash,REG-03,EMP-123
POS-50152,2026-07-09 18:32:31,,London - Oxford St,UK,PROD-045,Sporting Goods,2,259.92,Cash,REG-03,EMP-102
POS-50153,2026-09-12 09:06:25,,Paris - Champs-Elysees,FR,PROD-079,Books & Media,2,40.6,Contactless,REG-06,EMP-121
POS-50154,2025-10-29 01:27:05,MEM-148,New York - 5th Ave,US,PROD-042,Apparel & Fashion,4,62.05,Contactless,REG-02,EMP-116
POS-50155,2026-08-22 12:33:27,MEM-200,Berlin - Mitte,DE,PROD-046,Consumer Electronics,4,78.16,Cash,REG-01,EMP-129
POS-50156,2025-09-21 17:30:34,,London - Oxford St,UK,PROD-091,Consumer Electronics,2,275.5,Contactless,REG-04,EMP-114
POS-50157,2026-05-21 13:36:05,MEM-145,New York - 5th Ave,US,PROD-085,Sporting Goods,1,100.37,Contactless,REG-01,EMP-118
POS-50158,2025-09-19 06:04:41,MEM-113,Toronto - Downtown,CA,PROD-004,Books & Media,4,34.21,Card,REG-06,EMP-112
POS-50159,2025-12-26 04:45:20,,London - Oxford St,UK,PROD-012,Apparel & Fashion,2,74.14,Contactless,REG-04,EMP-120
POS-50160,2026-02-12 13:22:47,,Berlin - Mitte,DE,PROD-002,Apparel & Fashion,3,22.57,Cash,REG-04,EMP-123
POS-50161,2026-05-06 05:27:49,,Toronto - Downtown,CA,PROD-052,Apparel & Fashion,1,55.92,Card,REG-01,EMP-107
POS-50162,2026-02-10 03:58:12,,New York - 5th Ave,US,PROD-013,Home & Living,1,37.54,Card,REG-02,EMP-105
POS-50163,2025-11-03 03:21:40,,Paris - Champs-Elysees,FR,PROD-023,Home & Living,2,220.76,Contactless,REG-05,EMP-114
POS-50164,2026-03-02 01:46:08,,London - Oxford St,UK,PROD-044,Books & Media,4,18.3,Card,REG-05,EMP-115
POS-50165,2026-08-02 22:34:34,MEM-260,Sydney - George St,AU,PROD-082,Apparel & Fashion,1,54.07,Card,REG-04,EMP-125
POS-50166,2025-11-03 06:00:47,,Paris - Champs-Elysees,FR,PROD-014,Books & Media,2,16.63,Contactless,REG-01,EMP-120
POS-50167,2026-06-27 04:44:14,MEM-162,Toronto - Downtown,CA,PROD-069,Books & Media,1,20.55,Card,REG-06,EMP-112
POS-50168,2026-04-25 07:38:25,,New York - 5th Ave,US,PROD-046,Consumer Electronics,3,518.62,Contactless,REG-01,EMP-104
POS-50169,2026-03-25 23:05:08,MEM-282,Berlin - Mitte,DE,PROD-089,Books & Media,3,34.28,Contactless,REG-06,EMP-104
POS-50170,2025-11-11 10:29:16,,Sydney - George St,AU,PROD-027,Apparel & Fashion,-1,91.48,Card,REG-05,EMP-103
POS-50171,2025-11-18 11:14:59,,Mumbai - Bandra,IN,PROD-036,Consumer Electronics,4,210.72,Card,REG-05,EMP-110
POS-50172,2026-01-21 05:25:07,,Toronto - Downtown,CA,PROD-073,Home & Living,4,55.85,Card,REG-05,EMP-108
POS-50173,2026-05-23 03:43:56,,Paris - Champs-Elysees,FR,PROD-088,Home & Living,1,157.53,Card,REG-06,EMP-121
POS-50174,2026-01-18 04:48:20,,Berlin - Mitte,DE,PROD-088,Home & Living,4,41.19,Cash,REG-04,EMP-122
POS-50175,2025-11-06 08:47:05,MEM-346,Berlin - Mitte,DE,PROD-038,Home & Living,3,55.7,Cash,REG-03,EMP-128
POS-50176,2026-05-24 19:35:02,MEM-274,Paris - Champs-Elysees,FR,PROD-059,Books & Media,1,40.5,Card,REG-05,EMP-124
POS-50177,2025-10-30 07:30:59,MEM-147,Paris - Champs-Elysees,FR,PROD-001,Consumer Electronics,2,570.42,Cash,REG-03,EMP-129
POS-50178,2025-11-05 22:21:56,MEM-163,Mumbai - Bandra,IN,PROD-077,Apparel & Fashion,2,80.65,Cash,REG-02,EMP-128
POS-50179,2026-07-28 09:38:53,MEM-290,London - Oxford St,UK,PROD-092,Apparel & Fashion,3,81.9,Cash,REG-03,EMP-113
POS-50180,2025-10-14 10:26:57,MEM-214,Mumbai - Bandra,IN,PROD-030,Sporting Goods,4,57.12,Cash,REG-02,EMP-108
POS-50181,2025-09-17 21:47:29,,London - Oxford St,UK,PROD-051,Consumer Electronics,1,463.41,Card,REG-04,EMP-109
POS-50182,2026-08-29 10:45:18,,Berlin - Mitte,DE,PROD-070,Sporting Goods,2,80.27,Contactless,REG-01,EMP-106
POS-50183,2026-06-01 21:36:46,MEM-388,Mumbai - Bandra,IN,PROD-097,Apparel & Fashion,4,91.53,Card,REG-03,EMP-129
POS-50184,2025-11-16 16:11:24,,Berlin - Mitte,DE,PROD-083,Home & Living,2,179.72,Cash,REG-05,EMP-106
POS-50185,2026-07-26 05:27:26,MEM-115,Mumbai - Bandra,IN,PROD-064,Books & Media,1,26.72,Card,REG-03,EMP-108
POS-50186,2026-07-13 17:51:55,MEM-229,Berlin - Mitte,DE,PROD-014,Books & Media,1,11.51,Card,REG-04,EMP-115
POS-50187,2025-10-15 09:11:33,MEM-330,Berlin - Mitte,DE,PROD-097,Apparel & Fashion,2,30.16,Cash,REG-05,EMP-119
POS-50188,2026-04-30 22:55:42,,Berlin - Mitte,DE,PROD-075,Sporting Goods,4,58.14,Cash,REG-02,EMP-127
POS-50189,2025-11-08 04:54:38,MEM-380,London - Oxford St,XX,PROD-018,Home & Living,2,82.3,Card,REG-02,EMP-128
POS-50190,2026-09-08 02:21:41,,Sydney - George St,AU,PROD-033,Home & Living,2,106.55,Cash,REG-05,EMP-117
POS-50191,2026-01-04 20:53:41,,New York - 5th Ave,US,PROD-047,Apparel & Fashion,4,25.02,Contactless,REG-02,EMP-128
POS-50192,2025-11-21 21:20:42,MEM-202,New York - 5th Ave,US,PROD-029,Books & Media,1,16.98,Cash,REG-01,EMP-105
POS-50193,2026-04-26 11:12:47,,London - Oxford St,UK,PROD-001,Consumer Electronics,4,475.71,Contactless,REG-04,EMP-108
POS-50194,2026-08-03 11:02:04,,Toronto - Downtown,CA,PROD-015,Sporting Goods,3,289.57,Card,REG-01,EMP-105
POS-50195,2026-01-19 14:57:02,MEM-148,Mumbai - Bandra,IN,PROD-027,Apparel & Fashion,4,42.9,Card,REG-03,EMP-130
POS-50196,2025-09-30 14:44:49,MEM-133,Toronto - Downtown,CA,PROD-020,Sporting Goods,4,52.03,Cash,REG-05,EMP-105
